rejection_ratio,retained_ratio,RMSE,MAE,method
0.0,1.0,0.06399190454009,0.03395800975354749,Oracle
0.05,0.95,0.0342736349908515,0.023969998537839286,Oracle
0.1,0.9,0.026553444201249388,0.019905706181202656,Oracle
0.15000000000000002,0.85,0.022043436443934115,0.017174765764029827,Oracle
0.2,0.8,0.018819599590610754,0.015072450386607178,Oracle
0.25,0.75,0.016348373129505978,0.01336894645693687,Oracle
0.30000000000000004,0.7,0.01439185046817765,0.011949053076803537,Oracle
0.35000000000000003,0.6499999999999999,0.01279215837478649,0.010733059850966158,Oracle
0.4,0.6,0.01139199755425065,0.009638882666223897,Oracle
0.45,0.55,0.01015791042748049,0.008648653784956292,Oracle
0.5,0.5,0.009009759813225503,0.007717415674874709,Oracle
0.55,0.44999999999999996,0.007973718292923362,0.006857031094033669,Oracle
0.6000000000000001,0.3999999999999999,0.007024984819816796,0.0060509227228841955,Oracle
0.65,0.35,0.006103421941277763,0.005262262212756037,Oracle
0.7000000000000001,0.29999999999999993,0.005214896366212179,0.0044948649474356485,Oracle
0.75,0.25,0.004350995849244693,0.0037407382264918413,Oracle
0.8,0.19999999999999996,0.0034681873446643285,0.0029735051269482882,Oracle
0.0,1.0,0.06399190454009,0.0339580097535475,Random
0.05,0.95,0.06408803505384054,0.03398206709998991,Random
0.1,0.9,0.06399502026702676,0.03398138459712029,Random
0.15000000000000002,0.85,0.06408268628521203,0.0339967190707805,Random
0.2,0.8,0.06402451439403009,0.03394195502336449,Random
0.25,0.75,0.06396252068407675,0.03398060920791666,Random
0.30000000000000004,0.7,0.06387974343479146,0.03393759270109979,Random
0.35000000000000003,0.6499999999999999,0.0640318633345551,0.03396318547921018,Random
0.4,0.6,0.0640428358460974,0.033989117964305746,Random
0.45,0.55,0.06383113141144561,0.033929946776400814,Random
0.5,0.5,0.06365052174332939,0.03382472390893626,Random
0.55,0.44999999999999996,0.06405207507033384,0.034007837441478304,Random
0.6000000000000001,0.3999999999999999,0.0641514643406647,0.03391131348651047,Random
0.65,0.35,0.06352860800852925,0.033816323765727505,Random
0.7000000000000001,0.29999999999999993,0.06383300117717035,0.03386176547133977,Random
0.75,0.25,0.06395162117555478,0.0339050345981549,Random
0.8,0.19999999999999996,0.06390305073932488,0.03401818331104013,Random
0.0,1.0,0.06399190454009,0.03395800975354749,Raw MC
0.05,0.95,0.05951710789052131,0.03168480311449931,Raw MC
0.1,0.9,0.05809048296139101,0.03040258435130301,Raw MC
0.15000000000000002,0.85,0.056358424542863515,0.0292583307666181,Raw MC
0.2,0.8,0.053122101362054426,0.027790600831442358,Raw MC
0.25,0.75,0.05049241343168301,0.0263627248583819,Raw MC
0.30000000000000004,0.7,0.049581212934266816,0.02550190482749844,Raw MC
0.35000000000000003,0.6499999999999999,0.04790249793932365,0.02460568205907216,Raw MC
0.4,0.6,0.046396074819210216,0.023781622617588632,Raw MC
0.45,0.55,0.04538197209089959,0.022965968747904634,Raw MC
0.5,0.5,0.04448661349953052,0.022158670989959207,Raw MC
0.55,0.44999999999999996,0.04350344825050252,0.021337565587954032,Raw MC
0.6000000000000001,0.3999999999999999,0.043365745548458665,0.020947826904592133,Raw MC
0.65,0.35,0.04268061488912822,0.02054257685766861,Raw MC
0.7000000000000001,0.29999999999999993,0.043320828140494025,0.020391964650627002,Raw MC
0.75,0.25,0.03842545232438213,0.01971457383715093,Raw MC
0.8,0.19999999999999996,0.03594161085530802,0.018630441266375093,Raw MC
0.0,1.0,0.06399190454009,0.03395800975354749,Split CP
0.05,0.95,0.06419402591277258,0.033967296471392426,Split CP
0.1,0.9,0.06458130029811876,0.03419898528819197,Split CP
0.15000000000000002,0.85,0.06456078843977801,0.034213856267303736,Split CP
0.2,0.8,0.06451595810697834,0.03422686811700055,Split CP
0.25,0.75,0.06481563081165839,0.03432734589451243,Split CP
0.30000000000000004,0.7,0.06497643501795444,0.034322069735244536,Split CP
0.35000000000000003,0.6499999999999999,0.06515293337081374,0.034380022316640516,Split CP
0.4,0.6,0.06594464809244019,0.03469398630909422,Split CP
0.45,0.55,0.06608160047713803,0.03440414089956292,Split CP
0.5,0.5,0.06450386694130952,0.032966948461121796,Split CP
0.55,0.44999999999999996,0.05810645388234485,0.029839261730356104,Split CP
0.6000000000000001,0.3999999999999999,0.05343942851394832,0.02708960291615805,Split CP
0.65,0.35,0.05068847765958586,0.02450903242105329,Split CP
0.7000000000000001,0.29999999999999993,0.0463794405599419,0.021391523232923745,Split CP
0.75,0.25,0.04311413766689297,0.018601269696363637,Split CP
0.8,0.19999999999999996,0.0319963764502928,0.016039877344822286,Split CP
0.0,1.0,0.06399190454009,0.03395800975354749,MC+CP
0.05,0.95,0.05948981099260161,0.03162405034237847,MC+CP
0.1,0.9,0.05756496981284319,0.030200695623235674,MC+CP
0.15000000000000002,0.85,0.05594980490336244,0.029200553077776824,MC+CP
0.2,0.8,0.05267114234165331,0.02768698162545074,MC+CP
0.25,0.75,0.051341931346814966,0.026732751993871408,MC+CP
0.30000000000000004,0.7,0.049675907080022084,0.025743984637908432,MC+CP
0.35000000000000003,0.6499999999999999,0.0488483040344168,0.025133223216438818,MC+CP
0.4,0.6,0.04679313844987882,0.0242495260228169,MC+CP
0.45,0.55,0.0465982744018328,0.02372306442018808,MC+CP
0.5,0.5,0.04539429329066736,0.022895844730096152,MC+CP
0.55,0.44999999999999996,0.04552620109648239,0.02251732550976044,MC+CP
